name,address,latitude,longitude,stars,price,family oriented,history oriented,activity oriented,nature oriented,food oriented,shopping oriented
16th Street Seafood,1542 Tasker St,39.9307459,-75.1715522,4.0,$$,low family oriented,no history oriented,no activity oriented,no nature oriented,high food oriented,no shopping oriented
76 Carriage Company,1350 Schuylkill Ave,39.9375741,-75.2037673,4.5,$$$,high family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
A Love Letter for You,Market St,39.9606855,-75.2308108,5.0,$,low family oriented,medium history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
AAA Philadelphia Northeast,9475 Roosevelt Blvd,40.0793384617,-75.0275457745,3.0,$$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Academy of Natural Sciences,1900 Benjamin Franklin Pkwy,39.957018627,-75.1712603922,4.0,$$$,high family oriented,medium history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Arch Street Meeting House,320 Arch St,39.9518574786,-75.1461736562,4.5,$,low family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Auto Show Philadelphia,1101 Arch St,39.9540710998,-75.1593234008,3.5,$$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Avril 50,3406 Sansom St,39.9535136,-75.1925556,4.5,$$,no family oriented,low history oriented,low activity oriented,no nature oriented,medium food oriented,high shopping oriented
Awbury Arboretum,1 Awbury Rd,40.050556,-75.168113,4.5,$$,medium family oriented,medium history oriented,low activity oriented,high nature oriented,low food oriented,no shopping oriented
B N B Cigars,7920 Germantown Ave,40.069825,-75.200436,4.5,$,no family oriented,no history oriented,low activity oriented,no nature oriented,low food oriented,high shopping oriented
Banh Mi Cali,900 Arch St,39.9533991057,-75.1546818522,4.5,$,low family oriented,no history oriented,no activity oriented,no nature oriented,high food oriented,no shopping oriented
Bartram's Garden,5400 Lindbergh Blvd,39.9322659,-75.2121702,4.5,$,high family oriented,high history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Belmont Plateau,2000 Belmont Mansion Dr,39.9903274662,-75.2126649307,4.5,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,medium food oriented,low shopping oriented
Benjamin Franklin Bridge,US 676,39.9529445595,-75.1343607903,4.5,$$$,medium family oriented,medium history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Benjamin Franklin Museum,317 Chestnut St,39.9494843329,-75.1467383211,4.0,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Benjamin Franklin's Grave,5th and arch Streets,39.9524817544,-75.1486782067,4.5,$$,low family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Big Red Pedal Tours,218 Market St,39.9497522,-75.1444806,4.0,$$$,no family oriented,low history oriented,medium activity oriented,no nature oriented,low food oriented,no shopping oriented
Birchtree Catering,4500 Worth St,40.008612,-75.081733,5.0,$$$$,medium family oriented,no history oriented,low activity oriented,low nature oriented,high food oriented,no shopping oriented
Bloktoberfest,17 Washington Ave,39.9438564474,-75.1671774914,5.0,$$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,medium shopping oriented
Blue Bell Park,842 Walnut Ln,40.030109,-75.20231,4.0,$,medium family oriented,no history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Boathouse Row,1 Boathouse Row,39.9695828,-75.1876317,4.5,$,medium family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Bonnie's Capistrano Bar,1503 S 13th St,39.931276,-75.165899,4.0,$,no family oriented,low history oriented,low activity oriented,no nature oriented,low food oriented,no shopping oriented
Bow Tie Tours,6TH And Market St,39.9506155049,-75.1503472803,4.5,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Brown Street Cleaners,2601 Brown St,39.9704015554,-75.1797454202,3.0,$$,no family oriented,no history oriented,no activity oriented,no nature oriented,no food oriented,low shopping oriented
Bui's,38th St & Spruce St,39.9512903,-75.1992768,4.5,$,low family oriented,no history oriented,no activity oriented,no nature oriented,high food oriented,no shopping oriented
Bury The Hatchet,"1719 Washington Ave, Fl 2",39.93883,-75.17232,5.0,$$$,medium family oriented,no history oriented,medium activity oriented,no nature oriented,medium food oriented,no shopping oriented
Campo's Philly Cheesesteaks,214 Market St,39.9497014,-75.1442745,3.5,$$,low family oriented,no history oriented,no activity oriented,no nature oriented,high food oriented,no shopping oriented
Carpenters' Hall,320 Chestnut St,39.9480501031,-75.1469577849,4.5,$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Cathay Xpress,1011 Arch St,39.9539384228,-75.156795457,3.0,$$$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Cedar Park,50th St & Baltimore Ave,39.9482189152,-75.2226483822,4.5,$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
Checker Cab Philly,2301 Church St,40.0056684,-75.082377,1.0,$$$,no family oriented,no history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Chef Joseph Poon,1010 Cherry St,39.9543466,-75.156613,3.0,$$$,low family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,low shopping oriented
Cherry Street Pier,121 N Columbus Blvd,39.952804,-75.139738,4.0,$$,medium family oriented,medium history oriented,low activity oriented,medium nature oriented,high food oriented,low shopping oriented
Chester Avenue Dog Park,801 S 48th St,39.9482382,-75.2185146,3.5,$$$,no family oriented,no history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Chew Philly Food Tours,4212 Main St,40.023867,-75.22083,4.5,$$$,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,high food oriented,low shopping oriented
Chinatown Friendship Gate,10th & Arch St,39.9537097058,-75.156232,4.5,$,low family oriented,high history oriented,low activity oriented,no nature oriented,medium food oriented,medium shopping oriented
Chinatown,North 12th St,39.9768041498,-75.1544603971,5.0,$$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,medium shopping oriented
Christ Church Burial Ground,20 N American St,39.9507644242,-75.1439327404,4.0,$$,low family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Cianfrani Park,8th & Fitzwater St,39.9405637,-75.1558886,4.0,$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,low food oriented,low shopping oriented
Cira Green,80 S 30th St,39.9526731445,-75.183339,4.0,$$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,medium food oriented,no shopping oriented
City Hall,1450 John F Kennedy Blvd,39.9523991022,-75.1635996804,4.0,$$,low family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
City of Philadelphia,1 Penn Sq,39.9523942224,-75.1635988202,3.5,$$$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,low shopping oriented
Clark Park Dog Bowl,43rd & Chester,39.9484061,-75.2090355,4.5,$,medium family oriented,no history oriented,medium activity oriented,medium nature oriented,low food oriented,low shopping oriented
Clark Park Flea Market,43RD St And Baltimore Ave,39.9495541,-75.2092403,3.5,$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,medium food oriented,high shopping oriented
Clark Park,43RD And Baltimore,39.9495541,-75.2092403,4.5,$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,high food oriented,medium shopping oriented
Comcast,One Comcast Ctr,39.954703,-75.1684962,2.0,$,medium family oriented,low history oriented,low activity oriented,no nature oriented,medium food oriented,low shopping oriented
Comcast,1500 Market St,39.9523167,-75.1664857,2.0,$$,low family oriented,no history oriented,low activity oriented,no nature oriented,medium food oriented,medium shopping oriented
Congress Hall,6TH Chestnut St,39.948961,-75.150664,4.5,$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Convention Center Parking Facility,1324 Arch St,39.954035,-75.16245,3.0,$$$,no family oriented,no history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
David Thomas Trailways,14005 McNulty Rd,40.1064092,-74.9739371,4.5,$$$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Declaration House,599 S 7th St,39.9516507,-75.1526783,2.5,$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Devil's Alley Bar & Grille,1907 Chestnut St,39.95214,-75.1722162,3.5,$$,low family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Dickinson Square Park,1600 E Moyamensing Ave,39.9277792193,-75.1515483856,4.0,$,high family oriented,no history oriented,medium activity oriented,medium nature oriented,low food oriented,low shopping oriented
Dilworth Park,1 S 15th St,39.952505,-75.165131,4.5,$$,high family oriented,medium history oriented,medium activity oriented,low nature oriented,medium food oriented,medium shopping oriented
Dock Street Brewery,701 S 50th St,39.9477306374,-75.2227761947,4.0,$$,low family oriented,no history oriented,low activity oriented,low nature oriented,high food oriented,no shopping oriented
Drexel Park,32ND St And Powelton Ave,39.9605325,-75.1879781,3.5,$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Dîner en Blanc,111 S 17th St,39.951001,-75.16874,3.5,$$$,no family oriented,low history oriented,medium activity oriented,low nature oriented,high food oriented,no shopping oriented
Eastern State Penitentiary Halloween Nights,2027 Fairmount Ave,39.9683684,-75.1726552,2.0,$$$,low family oriented,medium history oriented,low activity oriented,no nature oriented,medium food oriented,no shopping oriented
Eastern State Penitentiary Historic Site,2027 Fairmount Ave,39.9683684,-75.1726552,4.5,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Ebenezer Maxwell Mansion,200 W Tulpehocken St,40.0381645,-75.183676,3.5,$$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Edgar Allan Poe House,532 N 7th St,39.9620288,-75.1498375,4.5,$,low family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
El Provocon,6620 Castor Ave,40.0426716777,-75.0743865967,2.5,$,low family oriented,no history oriented,no activity oriented,no nature oriented,high food oriented,no shopping oriented
Elfreth's Alley,126 Elfreths Aly,39.9527511597,-75.1424942017,4.5,$,low family oriented,high history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
