name,address,latitude,longitude,stars,price,quality,location,service,safety
AKA Rittenhouse Square,135 S 18th St,39.9503652,-75.1704529,4.5,$$$,good quality,excellent location,average service,average safety
AKA University City,2929 Walnut St,39.951936,-75.183911,4.0,Unknown price,good quality,excellent location,good service,good safety
Alexander Inn,301 S 12th St,39.946396818,-75.1609669488,4.5,$$,average quality,excellent location,good service,good safety
Aloft Philadelphia Airport,4301 Island Ave,39.8911246892,-75.2342512699,3.0,$$,average quality,good location,average service,average safety
Aloft Philadelphia Downtown,101 North Broad St,39.9546225,-75.1627921,3.5,$$,average quality,good location,below average service,below average safety
Best Western Plus Philadelphia Convention Center Hotel,1225 Vine St,39.957823,-75.159432,2.5,$$$,average quality,good location,average service,average safety
Cambria Hotel Philadelphia Downtown Center City,219 South Broad Street,39.9486052,-75.1640808,3.5,$$$,good quality,excellent location,average service,good safety
Canopy by Hilton Philadelphia Center City,1180 Ludlow St,39.9509385644,-75.1599574301,4.5,Unknown price,good quality,excellent location,good service,excellent safety
Chestnut Hill Hotel,8229 Germantown Ave,40.0741672,-75.2030982,3.5,$$$,below average quality,good location,average service,average safety
Chestnut Hill Tower Apartments,7600 Stenton Ave,40.0732581,-75.1906974,2.0,Unknown price,below average quality,average location,bad service,below average safety
Chez Colette,120 S 17th St,39.9507208157,-75.1689343926,3.5,$$,average quality,good location,good service,average safety
Club Quarters Philadelphia,1628 Chestnut St,39.9512939,-75.1684401,3.0,$$,below average quality,good location,below average service,average safety
Cornerstone Bed & Breakfast,3300 Baring St,39.9613129,-75.1899803,4.5,Unknown price,good quality,excellent location,good service,excellent safety
Courtyard by Marriott Philadelphia Airport,8900 Bartram Ave,39.8849770662,-75.2513694763,3.5,$$,below average quality,good location,average service,average safety
Courtyard by Marriott Philadelphia South at The Navy Yard,1001 Intrepid Ave,39.895454514,-75.1717264504,4.0,$$,good quality,average location,good service,good safety
Courtyard by Marriott,4100 Presidential Blvd,40.0071725342,-75.2110841091,3.5,$$,good quality,good location,average service,good safety
Days Inn by Wyndham Philadelphia - Roosevelt Boulevard,4200 Roosevelt Blvd,40.029927,-75.1062366,1.0,$,bad quality,below average location,bad service,bad safety
Days Inn by Wyndham Philadelphia Convention Center,1227 Race Street,39.956112,-75.1602156,2.0,$$,below average quality,average location,below average service,below average safety
Delta Hotels Philadelphia Airport,500 Stevens Dr,39.8730999989,-75.2747963729,2.0,$$,below average quality,average location,average service,below average safety
DoubleTree by Hilton Hotel Philadelphia Airport,4509 Island Ave,39.8889615,-75.2325572,2.5,$$,below average quality,good location,below average service,average safety
DoubleTree by Hilton Hotel Philadelphia Center City,237 S Broad St,39.9479028004,-75.1640327275,3.0,$$,average quality,excellent location,average service,below average safety
Element Philadelphia,1441 Chestnut St,39.9511572392,-75.1653848735,4.0,$$,good quality,excellent location,average service,below average safety
Embassy Suites by Hilton Philadelphia Airport,9000 Bartram Ave,39.8838478195,-75.2497038245,2.5,$$,below average quality,average location,below average service,below average safety
Extended Stay America - Philadelphia - Airport - Bartram Ave.,8880 Bartram Ave.,39.8862681,-75.2480428,1.5,$$,below average quality,average location,average service,below average safety
Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,9000 Tinicum Blvd,39.8840025672,-75.2481961274,1.5,$$,below average quality,average location,below average service,below average safety
Fairfield Inn & Suites Philadelphia Downtown/Center City,261 South 13th Street,39.9468905,-75.1623589,3.5,$$,average quality,excellent location,good service,average safety
Fairfield Inn by Marriott Philadelphia Airport,8800 Bartram Ave,39.8868252585,-75.2476465702,3.0,$$,average quality,good location,good service,average safety
Four Points by Sheraton Philadelphia Airport,4101A Island Ave,39.8915307681,-75.2326749154,2.5,$$,bad quality,average location,below average service,below average safety
Four Points by Sheraton Philadelphia City Center,1201 Race St,39.9560366,-75.1591784,3.0,$$,average quality,good location,average service,average safety
Four Points by Sheraton Philadelphia Northeast,9461 Roosevelt Blvd,40.0783729453,-75.0292557658,2.5,$$,below average quality,average location,below average service,below average safety
Four Seasons Hotel Philadelphia at Comcast Center,1 N 19th St,39.9550013332,-75.170976,4.0,Unknown price,excellent quality,excellent location,good service,good safety
Hampton Inn Philadelphia Center City-Convention Center,1301 Race St,39.9562835951,-75.1607483625,3.5,$$,below average quality,good location,average service,average safety
Hampton Inn Philadelphia-International Airport,8600 Bartram Ave,39.8882535601,-75.2463403344,3.0,$$,below average quality,good location,average service,below average safety
Hawthorn Suites By Wyndham Philadelphia Airport,4630 Island Avenue,39.8884,-75.230898,2.0,$$,below average quality,average location,below average service,below average safety
Hilton Garden Inn Philadelphia Center City,1100 Arch St,39.9535723,-75.1580853,3.0,$$,average quality,good location,average service,below average safety
Hilton Philadelphia at Penn's Landing,201 S Christopher Columbus Blvd,39.9452425,-75.1413550139,3.5,$$$,average quality,good location,average service,average safety
Hilton Philadelphia City Avenue,4200 City Ave,40.004346,-75.21854,2.5,$$$,below average quality,average location,below average service,average safety
Holiday Inn Express Philadelphia - Penns Landing,100 N Columbus Blvd,39.9528054,-75.140446,3.5,$$,average quality,good location,average service,average safety
Holiday Inn Express Philadelphia-Midtown,1305 Walnut St,39.9493353797,-75.1626115157,3.5,$$,average quality,excellent location,average service,good safety
"Home2 Suites by Hilton Philadelphia - Convention Center, PA",1200 Arch St,39.9536826978,-75.159804225,3.5,$$,average quality,excellent location,average service,average safety
Homewood Suites by Hilton Philadelphia-City Avenue,4200 City Ave,40.0040060418,-75.217685797,3.0,$$,average quality,good location,average service,below average safety
"Homewood Suites by Hilton University City Philadelphia, PA",4109 Walnut St,39.9546572,-75.205593,3.0,$$,average quality,good location,average service,average safety
Hyatt Centric Center City Philadelphia,1620 Chancellor St,39.9493052,-75.1689368,4.0,Unknown price,good quality,excellent location,good service,good safety
"Independence Park Hotel, Bw Premier Collection",235 Chestnut St,39.9486694089,-75.145468139,4.5,$$,good quality,excellent location,good service,good safety
Keystone Concierge,,39.9396284,-75.1866396,4.5,Unknown price,average quality,good location,average service,excellent safety
Kimpton Hotel Monaco Philadelphia,433 Chestnut St,39.9491236494,-75.1488953439,4.0,$$$,average quality,excellent location,average service,good safety
Kimpton Hotel Palomar Philadelphia,117 S 17th St,39.9508293,-75.1686289,4.0,$$$,good quality,excellent location,good service,good safety
Le Meridien Philadelphia,1421 Arch Street,39.9548246,-75.1640644,3.5,$$$,average quality,good location,average service,average safety
Leneghan's Crusader Inn,7412 Frankford Ave,40.0382627,-75.0376145,5.0,$,average quality,average location,good service,average safety
Live Casino Hotel,900 Packer Ave,39.9091912,-75.1646617,2.5,$$,average quality,good location,below average service,good safety
