name,address,latitude,longitude,stars,price,family oriented,history oriented,activity oriented,nature oriented,food oriented,shopping oriented
76 Carriage Company,1350 Schuylkill Ave,39.9375741,-75.2037673,4.5,$$$,high family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,no shopping oriented
Academy of Natural Sciences,1900 Benjamin Franklin Pkwy,39.957018627,-75.1712603922,4.0,$$$,high family oriented,medium history oriented,low activity oriented,low nature oriented,low food oriented,low shopping oriented
Auto Show Philadelphia,1101 Arch St,39.9540710998,-75.1593234008,3.5,$$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,low food oriented,medium shopping oriented
Awbury Arboretum,1 Awbury Rd,40.050556,-75.168113,4.5,$$,medium family oriented,medium history oriented,low activity oriented,high nature oriented,low food oriented,no shopping oriented
Bartram's Garden,5400 Lindbergh Blvd,39.9322659,-75.2121702,4.5,$,high family oriented,high history oriented,medium activity oriented,high nature oriented,low food oriented,low shopping oriented
Belmont Plateau,2000 Belmont Mansion Dr,39.9903274662,-75.2126649307,4.5,$,high family oriented,medium history oriented,medium activity oriented,high nature oriented,medium food oriented,low shopping oriented
Benjamin Franklin Bridge,US 676,39.9529445595,-75.1343607903,4.5,$$$,medium family oriented,medium history oriented,medium activity oriented,medium nature oriented,no food oriented,no shopping oriented
Benjamin Franklin Museum,317 Chestnut St,39.9494843329,-75.1467383211,4.0,$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,low shopping oriented
Bloktoberfest,17 Washington Ave,39.9438564474,-75.1671774914,5.0,$$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,medium shopping oriented
Blue Bell Park,842 Walnut Ln,40.030109,-75.20231,4.0,$,medium family oriented,no history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Boathouse Row,1 Boathouse Row,39.9695828,-75.1876317,4.5,$,medium family oriented,medium history oriented,medium activity oriented,high nature oriented,low food oriented,no shopping oriented
Bow Tie Tours,6TH And Market St,39.9506155049,-75.1503472803,4.5,$$$,medium family oriented,high history oriented,low activity oriented,no nature oriented,no food oriented,no shopping oriented
Bury The Hatchet,"1719 Washington Ave, Fl 2",39.93883,-75.17232,5.0,$$$,medium family oriented,no history oriented,medium activity oriented,no nature oriented,medium food oriented,no shopping oriented
Cedar Park,50th St & Baltimore Ave,39.9482189152,-75.2226483822,4.5,$,high family oriented,low history oriented,medium activity oriented,medium nature oriented,high food oriented,low shopping oriented
Cherry Street Pier,121 N Columbus Blvd,39.952804,-75.139738,4.0,$$,medium family oriented,medium history oriented,low activity oriented,medium nature oriented,high food oriented,low shopping oriented
Chew Philly Food Tours,4212 Main St,40.023867,-75.22083,4.5,$$$,medium family oriented,medium history oriented,medium activity oriented,low nature oriented,high food oriented,low shopping oriented
Chinatown,North 12th St,39.9768041498,-75.1544603971,5.0,$$,medium family oriented,medium history oriented,low activity oriented,no nature oriented,high food oriented,medium shopping oriented
Cianfrani Park,8th & Fitzwater St,39.9405637,-75.1558886,4.0,$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,low food oriented,low shopping oriented
Cira Green,80 S 30th St,39.9526731445,-75.183339,4.0,$$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,medium food oriented,no shopping oriented
City of Philadelphia,1 Penn Sq,39.9523942224,-75.1635988202,3.5,$$$,medium family oriented,high history oriented,medium activity oriented,low nature oriented,high food oriented,low shopping oriented
Clark Park Dog Bowl,43rd & Chester,39.9484061,-75.2090355,4.5,$,medium family oriented,no history oriented,medium activity oriented,medium nature oriented,low food oriented,low shopping oriented
Clark Park Flea Market,43RD St And Baltimore Ave,39.9495541,-75.2092403,3.5,$,medium family oriented,no history oriented,low activity oriented,medium nature oriented,medium food oriented,high shopping oriented
Clark Park,43RD And Baltimore,39.9495541,-75.2092403,4.5,$,high family oriented,medium history oriented,medium activity oriented,medium nature oriented,high food oriented,medium shopping oriented
Comcast,One Comcast Ctr,39.954703,-75.1684962,2.0,$,medium family oriented,low history oriented,low activity oriented,no nature oriented,medium food oriented,low shopping oriented
David Thomas Trailways,14005 McNulty Rd,40.1064092,-74.9739371,4.5,$$$,medium family oriented,no history oriented,low activity oriented,no nature oriented,high food oriented,no shopping oriented
Dickinson Square Park,1600 E Moyamensing Ave,39.9277792193,-75.1515483856,4.0,$,high family oriented,no history oriented,medium activity oriented,medium nature oriented,low food oriented,low shopping oriented
Dilworth Park,1 S 15th St,39.952505,-75.165131,4.5,$$,high family oriented,medium history oriented,medium activity oriented,low nature oriented,medium food oriented,medium shopping oriented
Drexel Park,32ND St And Powelton Ave,39.9605325,-75.1879781,3.5,$,medium family oriented,low history oriented,low activity oriented,medium nature oriented,low food oriented,no shopping oriented
Eastern State Penitentiary Historic Site,2027 Fairmount Ave,39.9683684,-75.1726552,4.5,$$$,medium family oriented,high history oriented,low activity oriented,low nature oriented,no food oriented,low shopping oriented
Fairmount Park,4231 N Concourse Dr,39.9987353985,-75.198543291,4.5,$,high family oriented,medium history oriented,high activity oriented,high nature oriented,low food oriented,no shopping oriented
Fairmount Water Works,640 Waterworks Dr,39.9660351,-75.1834918,4.5,$$$,medium family oriented,high history oriented,low activity oriented,high nature oriented,medium food oriented,no shopping oriented
Fante's Kitchen Shop,1006 S 9th St,39.9373725,-75.1583456,4.5,$$,medium family oriented,low history oriented,low activity oriented,no nature oriented,high food oriented,high shopping oriented
