name,address,latitude,longitude,stars,price,quality,location,service,safety
AKA Rittenhouse Square,135 S 18th St,39.9503652,-75.1704529,4.5,$$$,good quality,excellent location,average service,average safety
Cambria Hotel Philadelphia Downtown Center City,219 South Broad Street,39.9486052,-75.1640808,3.5,$$$,good quality,excellent location,average service,good safety
Courtyard by Marriott Philadelphia South at The Navy Yard,1001 Intrepid Ave,39.895454514,-75.1717264504,4.0,$$,good quality,average location,good service,good safety
Courtyard by Marriott,4100 Presidential Blvd,40.0071725342,-75.2110841091,3.5,$$,good quality,good location,average service,good safety
Element Philadelphia,1441 Chestnut St,39.9511572392,-75.1653848735,4.0,$$,good quality,excellent location,average service,below average safety
"Independence Park Hotel, Bw Premier Collection",235 Chestnut St,39.9486694089,-75.145468139,4.5,$$,good quality,excellent location,good service,good safety
Kimpton Hotel Palomar Philadelphia,117 S 17th St,39.9508293,-75.1686289,4.0,$$$,good quality,excellent location,good service,good safety
Loews Philadelphia Hotel,1200 Market St,39.9517461,-75.1602286,3.5,$$$,good quality,excellent location,average service,good safety
Lokal Hotel,139 N 3rd St,39.9532548,-75.14479,4.5,$$$,good quality,good location,good service,excellent safety
Penn's View Hotel,14 N Front St,39.950201,-75.142285,4.0,$$,good quality,excellent location,good service,good safety
ROOST Apartment Hotel,111 S 15th St,39.9505683,-75.1657016,4.5,$$$,good quality,excellent location,good service,good safety
Sofitel Philadelphia,120 S 17th St,39.9509482,-75.1695409,4.0,$$,good quality,excellent location,average service,average safety
The Dwight D,256 S 16th St,39.9479893,-75.1682766,4.5,$$,good quality,excellent location,good service,excellent safety
The Franklin Residences,834 Chestnut St,39.9493831,-75.1551309,5.0,$$$,good quality,excellent location,excellent service,excellent safety
"The Inn at Penn, a Hilton Hotel",3600 Sansom St,39.9537829039,-75.1957815881,4.0,$$$,good quality,excellent location,good service,good safety
"The Notary Hotel, Autograph Collection",21 N Juniper St,39.9530827357,-75.1621869785,3.5,$$$,good quality,excellent location,average service,good safety
The Rittenhouse Hotel,210 W Rittenhouse Sq,39.9499125,-75.1736448,4.0,$$$,good quality,excellent location,good service,excellent safety
W Philadelphia,1439 Chestnut St,39.9515202,-75.1650621,3.5,$$$,good quality,good location,average service,good safety
